airline_code,num_code,dep_time,time_taken,price,Routine,departure_time
0,975,5.75,45,742800,0,0
0,953,20.666666666666668,45,742800,0,1
0,981,21.666666666666668,45,805800,0,1
0,927,9.5,45,810000,0,2
0,993,12.833333333333334,45,810000,0,3
0,951,14.333333333333334,45,810000,0,3
0,933,15.5,45,810000,0,3
0,985,19.833333333333332,45,810000,0,4
0,995,10.333333333333334,45,810000,0,2
0,945,11.666666666666666,45,810000,0,2
1,7533,13.5,45,723000,0,3
1,7534,15.5,45,723000,0,3
1,7535,17.0,45,723000,0,4
2,171,2.0,45,723000,0,0
3,764,4.416666666666667,45,723000,0,0
2,2054,6.5,45,723000,0,2
1,530,7.0,45,723000,0,2
2,5001,7.25,45,723000,0,2
1,334,8.0,45,723000,0,2
2,5329,8.166666666666666,45,723000,0,2
1,354,22.5,45,723000,0,1
2,2137,23.583333333333332,45,723000,0,5
1,2501,2.0,45,723000,0,0
1,336,14.333333333333334,45,723000,0,3
1,392,15.0,45,723000,0,3
1,346,19.666666666666668,45,723000,0,4
3,482,20.0,45,723000,0,1
2,6261,20.0,45,723000,0,1
1,330,21.0,45,723000,0,1
2,6278,8.75,45,723000,0,2
1,338,10.5,45,723000,0,2
2,218,10.75,45,723000,0,2
1,323,18.833333333333332,45,723000,0,4
2,2081,4.75,45,723000,0,0
3,773,20.0,45,722700,0,1
3,721,20.75,45,722700,0,1
3,1529,9.583333333333334,45,722700,0,2
3,773,20.0,45,722700,0,1
3,740,8.0,45,722700,0,2
3,788,22.166666666666668,45,722700,0,1
3,1529,9.583333333333334,45,722700,0,2
2,2154,10.5,45,738900,0,2
2,2097,7.0,45,738900,0,2
3,868,18.0,45,742800,0,4
3,887,7.0,45,742800,0,2
3,665,8.0,45,742800,0,2
3,865,10.666666666666666,45,742800,0,2
3,805,20.0,45,742800,0,1
3,678,9.0,45,742800,0,2
3,636,14.5,45,742800,0,3
3,441,17.833333333333332,45,742800,0,4
0,8709,18.916666666666668,45,786300,0,4
0,8803,7.333333333333333,45,786300,0,2
0,8157,6.333333333333333,45,786300,0,2
0,8169,19.75,45,786300,0,4
0,3002,7.75,45,786300,0,2
