Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
SGN,2024-11-01 08:10:00,HAN,2024-11-01 10:20:00,W2,4128,2035000.00,PT2H10M
SGN,2024-11-01 09:15:00,HAN,2024-11-01 11:25:00,W2,4176,2035000.00,PT2H10M
SGN,2024-11-01 11:05:00,HAN,2024-11-01 13:15:00,W2,4132,2035000.00,PT2H10M
SGN,2024-11-01 12:10:00,HAN,2024-11-01 14:20:00,W2,4174,2035000.00,PT2H10M
SGN,2024-11-01 12:30:00,HAN,2024-11-01 14:40:00,W2,4134,2035000.00,PT2H10M
SGN,2024-11-01 13:00:00,HAN,2024-11-01 15:10:00,W2,4142,2035000.00,PT2H10M
SGN,2024-11-01 13:40:00,HAN,2024-11-01 15:50:00,W2,4138,2035000.00,PT2H10M
SGN,2024-11-01 15:20:00,HAN,2024-11-01 17:30:00,W2,4146,2035000.00,PT2H10M
SGN,2024-11-01 17:40:00,HAN,2024-11-01 19:50:00,W2,4150,2035000.00,PT2H10M
SGN,2024-11-01 18:00:00,HAN,2024-11-01 20:10:00,W2,4178,2035000.00,PT2H10M
SGN,2024-11-01 20:40:00,HAN,2024-11-01 22:50:00,W2,4160,2035000.00,PT2H10M
SGN,2024-11-01 23:00:00,HAN,2024-11-02 01:10:00,W2,4170,2035000.00,PT2H10M
SGN,2024-11-01 23:15:00,HAN,2024-11-02 01:25:00,W2,4168,2035000.00,PT2H10M
SGN,2024-11-01 23:45:00,HAN,2024-11-02 01:55:00,W2,4182,2035000.00,PT2H10M
SGN,2024-11-01 05:15:00,HAN,2024-11-01 07:25:00,QH,202,2092000.00,PT2H10M
SGN,2024-11-01 07:45:00,HAN,2024-11-01 09:55:00,QH,204,2092000.00,PT2H10M
SGN,2024-11-01 13:30:00,HAN,2024-11-01 15:40:00,QH,242,2092000.00,PT2H10M
SGN,2024-11-01 19:25:00,HAN,2024-11-01 21:35:00,QH,268,2092000.00,PT2H10M
