Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
DAD,2024-09-15 20:40:00,HAN,2024-09-15 22:00:00,VJ,524,2318000.0,PT1H20M
SGN,2024-09-15 15:40:00,DAD,2024-09-15 17:00:00,VJ,632,2318000.0,PT1H20M
DAD,2024-09-15 23:00:00,HAN,2024-09-16 00:20:00,VJ,528,2318000.0,PT1H20M
SGN,2024-09-15 05:35:00,DAD,2024-09-15 06:55:00,VJ,620,2318000.0,PT1H20M
SGN,2024-09-15 10:40:00,UIH,2024-09-15 11:50:00,VJ,382,2425000.0,PT1H10M
SGN,2024-09-15 17:00:00,BMV,2024-09-15 18:00:00,VJ,358,2640000.0,PT1H
BMV,2024-09-15 18:35:00,HAN,2024-09-15 20:20:00,VJ,494,2640000.0,PT1H45M
SGN,2024-09-15 17:25:00,DLI,2024-09-15 18:20:00,VJ,362,2640000.0,PT55M
DLI,2024-09-15 19:05:00,HAN,2024-09-15 20:55:00,VJ,406,2640000.0,PT1H50M
DLI,2024-09-15 20:35:00,HAN,2024-09-15 22:25:00,VJ,408,2640000.0,PT1H50M
SGN,2024-09-15 07:30:00,PQC,2024-09-15 08:30:00,VJ,323,2640000.0,PT1H
SGN,2024-09-15 16:10:00,PQC,2024-09-15 17:10:00,VJ,331,2640000.0,PT1H
SGN,2024-09-15 05:40:00,PQC,2024-09-15 06:40:00,VJ,321,2640000.0,PT1H
SGN,2024-09-15 14:20:00,PQC,2024-09-15 15:20:00,VJ,329,2640000.0,PT1H
SGN,2024-09-15 15:45:00,CXR,2024-09-15 16:55:00,VJ,604,2640000.0,PT1H10M
CXR,2024-09-15 19:45:00,HAN,2024-09-15 21:35:00,VJ,788,2640000.0,PT1H50M
SGN,2024-09-15 06:40:00,HAN,2024-09-15 08:50:00,A1,2168,2697000.0,PT2H10M
SGN,2024-09-15 07:00:00,HAN,2024-09-15 09:10:00,A1,2122,2697000.0,PT2H10M
SGN,2024-09-15 10:10:00,HAN,2024-09-15 12:20:00,A1,2130,2697000.0,PT2H10M
SGN,2024-09-15 11:25:00,HAN,2024-09-15 13:35:00,A1,2170,2697000.0,PT2H10M
SGN,2024-09-15 12:00:00,HAN,2024-09-15 14:10:00,A1,2172,2697000.0,PT2H10M
SGN,2024-09-15 13:20:00,HAN,2024-09-15 15:30:00,A1,2136,2697000.0,PT2H10M
SGN,2024-09-15 16:30:00,HAN,2024-09-15 18:40:00,A1,2144,2697000.0,PT2H10M
SGN,2024-09-15 19:40:00,HAN,2024-09-15 21:50:00,A1,2156,2697000.0,PT2H10M
SGN,2024-09-15 23:00:00,HAN,2024-09-16 01:10:00,A1,2164,2697000.0,PT2H10M
SGN,2024-09-15 15:05:00,DAD,2024-09-15 16:30:00,QH,164,2872000.0,PT1H25M
DAD,2024-09-15 22:15:00,HAN,2024-09-15 23:35:00,QH,126,2872000.0,PT1H20M
SGN,2024-09-15 13:50:00,DAD,2024-09-15 15:15:00,QH,162,2872000.0,PT1H25M
SGN,2024-09-15 20:40:00,DAD,2024-09-15 22:05:00,QH,170,2872000.0,PT1H25M
DAD,2024-09-16 08:00:00,HAN,2024-09-16 09:25:00,QH,102,2872000.0,PT1H25M
DAD,2024-09-16 10:40:00,HAN,2024-09-16 12:05:00,QH,104,2872000.0,PT1H25M
SGN,2024-09-15 10:00:00,HAN,2024-09-15 12:20:00,VN,6118,2982000.0,PT2H20M
SGN,2024-09-15 11:00:00,HAN,2024-09-15 13:20:00,VN,6130,2982000.0,PT2H20M
SGN,2024-09-15 12:00:00,HAN,2024-09-15 14:20:00,VN,6120,2982000.0,PT2H20M
SGN,2024-09-15 15:00:00,HAN,2024-09-15 17:20:00,VN,6122,2982000.0,PT2H20M
SGN,2024-09-15 18:00:00,HAN,2024-09-15 20:20:00,VN,6124,2982000.0,PT2H20M
SGN,2024-09-15 21:00:00,HAN,2024-09-15 23:20:00,VN,6126,2982000.0,PT2H20M
SGN,2024-09-15 09:35:00,CXR,2024-09-15 10:45:00,QH,1312,3139000.0,PT1H10M
CXR,2024-09-15 15:10:00,HAN,2024-09-15 17:05:00,QH,1416,3139000.0,PT1H55M
SGN,2024-09-15 16:00:00,HAN,2024-09-15 18:10:00,QH,244,3185000.0,PT2H10M
SGN,2024-09-15 22:00:00,HAN,2024-09-16 00:10:00,VN,224,3250000.0,PT2H10M
SGN,2024-09-15 23:00:00,HAN,2024-09-16 01:15:00,VN,270,3250000.0,PT2H15M
SGN,2024-09-15 11:10:00,HUI,2024-09-15 12:35:00,W2,4304,3345000.0,PT1H25M
HUI,2024-09-15 13:30:00,HAN,2024-09-15 14:45:00,W2,4566,3345000.0,PT1H15M
SGN,2024-09-15 18:00:00,DAD,2024-09-15 19:20:00,W2,4638,3345000.0,PT1H20M
DAD,2024-09-15 21:25:00,HAN,2024-09-15 22:45:00,W2,4510,3345000.0,PT1H20M
SGN,2024-09-15 19:45:00,DAD,2024-09-15 21:05:00,W2,4636,3345000.0,PT1H20M
DAD,2024-09-15 23:25:00,HAN,2024-09-16 00:45:00,W2,4532,3345000.0,PT1H20M
SGN,2024-09-15 07:00:00,DAD,2024-09-15 08:20:00,W2,4622,3345000.0,PT1H20M
DAD,2024-09-15 10:55:00,HAN,2024-09-15 12:15:00,W2,4508,3345000.0,PT1H20M
SGN,2024-09-15 16:15:00,DAD,2024-09-15 17:35:00,W2,4634,3345000.0,PT1H20M
DAD,2024-09-15 20:40:00,HAN,2024-09-15 22:00:00,W2,4524,3345000.0,PT1H20M
SGN,2024-09-15 15:40:00,DAD,2024-09-15 17:00:00,W2,4632,3345000.0,PT1H20M
DAD,2024-09-15 23:00:00,HAN,2024-09-16 00:20:00,W2,4528,3345000.0,PT1H20M
SGN,2024-09-15 05:35:00,DAD,2024-09-15 06:55:00,W2,4620,3345000.0,PT1H20M
DAD,2024-09-15 12:35:00,HAN,2024-09-15 13:55:00,W2,4512,3345000.0,PT1H20M
SGN,2024-09-15 10:40:00,UIH,2024-09-15 11:50:00,W2,4382,3452000.0,PT1H10M
SGN,2024-09-15 06:15:00,PXU,2024-09-15 07:25:00,W2,4396,3452000.0,PT1H10M
SGN,2024-09-15 17:00:00,BMV,2024-09-15 18:00:00,W2,4358,3640000.0,PT1H
BMV,2024-09-15 18:35:00,HAN,2024-09-15 20:20:00,W2,4494,3640000.0,PT1H45M
SGN,2024-09-15 17:25:00,DLI,2024-09-15 18:20:00,W2,4362,3640000.0,PT55M
DLI,2024-09-15 19:05:00,HAN,2024-09-15 20:55:00,W2,4406,3640000.0,PT1H50M
SGN,2024-09-15 07:30:00,PQC,2024-09-15 08:30:00,W2,4323,3640000.0,PT1H
SGN,2024-09-15 16:10:00,PQC,2024-09-15 17:10:00,W2,4331,3640000.0,PT1H
SGN,2024-09-15 05:40:00,PQC,2024-09-15 06:40:00,W2,4321,3640000.0,PT1H
SGN,2024-09-15 14:20:00,PQC,2024-09-15 15:20:00,W2,4329,3640000.0,PT1H
SGN,2024-09-15 15:45:00,CXR,2024-09-15 16:55:00,W2,4604,3640000.0,PT1H10M
CXR,2024-09-15 19:45:00,HAN,2024-09-15 21:35:00,W2,4788,3640000.0,PT1H50M
